technology,year,parameter,value,unit,source,further description,currency_year
lignite,2025,investment,3827.1629,EUR/kWel,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","Higher costs include coal plants with CCS, but since using here for calculating the average nevertheless. Calculated based on average of listed range, i.e. (3200+6775) USD/kW_e/2 / (1.09 USD/EUR). Note: Assume same costs as for hard coal, as cost structure is apparently comparable, see https://diglib.tugraz.at/download.php?id=6093e88b63f93&location=browse and https://iea.blob.core.windows.net/assets/ae17da3d-e8a5-4163-a3ec-2e6fb0b5677d/Projected-Costs-of-Generating-Electricity-2020.pdf .",2023.0
solar-rooftop,2025,investment,702.9265,EUR/kWel,Calculated. See 'further description'.,Mixed investment costs based on average of 50% 'solar-rooftop commercial' and 50% 'solar-rooftop residential',2020.0
solar-utility,2025,investment,383.7312,EUR/kWel,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",22 Utility-scale PV:  Nominal investment [2020-MEUR/MW_e],2020.0
PHS,2025,investment,2274.8177,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2010.0
hydro,2025,investment,2274.8177,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2010.0
ror,2025,investment,3412.2266,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2010.0
OCGT,2025,investment,460.5804,EUR/kWel,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",52 OCGT - Natural gas:  Specific investment,2015.0
nuclear,2025,investment,8594.1354,EUR/kWel,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","U.S. specific costs including newly commissioned Vogtle plant, average of range and currency converted, i.e. (8475+13925)/2 USD/kW_e / (1.09 USD/EUR) .",2023.0
CCGT,2025,investment,878.324,EUR/kWel,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Nominal investment",2015.0
oil,2025,investment,362.97,EUR/kWel,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",50 Diesel engine farm:  Specific investment,2015.0
onwind,2025,FOM,1.2167,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",20 Onshore turbines:  Fixed O&M,2015.0
offwind,2025,FOM,2.3185,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","21 Offshore turbines:  Fixed O&M [EUR/MW_e/y, 2020]",2020.0
solar,2025,FOM,1.9495,%/year,Calculated. See 'further description'.,Mixed investment costs based on average of 50% 'solar-rooftop' and 50% 'solar-utility',2020.0
solar-rooftop,2025,FOM,1.4234,%/year,Calculated. See 'further description'.,Mixed investment costs based on average of 50% 'solar-rooftop commercial' and 50% 'solar-rooftop residential',2020.0
solar-utility,2025,FOM,2.4757,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",22 Utility-scale PV:  Fixed O&M [2020-EUR/MW_e/y],2020.0
biomass,2025,FOM,4.5269,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2015.0
geothermal,2025,FOM,2.0,%/year,"Aghahosseini, Breyer 2020: From hot rock to useful energy: A global estimate of enhanced geothermal systems potential, https://www.sciencedirect.com/science/article/pii/S0306261920312551",See Supplemental Material of source for details,2020.0
coal,2025,FOM,1.31,%/year,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","Calculated based on average of listed range, i.e. (39.5+91.25) USD/kW_e/a /2 / (1.09 USD/EUR) / investment cost * 100.",2023.0
lignite,2025,FOM,1.31,%/year,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","Calculated based on average of listed range, i.e. (39.5+91.25) USD/kW_e/a /2 / (1.09 USD/EUR) / investment cost * 100. Note: Assume same costs as for hard coal, as cost structure is apparently comparable, see https://diglib.tugraz.at/download.php?id=6093e88b63f93&location=browse and https://iea.blob.core.windows.net/assets/ae17da3d-e8a5-4163-a3ec-2e6fb0b5677d/Projected-Costs-of-Generating-Electricity-2020.pdf . ",2023.0
oil,2025,FOM,2.463,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",50 Diesel engine farm:  Fixed O&M,2015.0
PHS,2025,FOM,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2015.0
hydro,2025,FOM,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2015.0
ror,2025,FOM,2.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2015.0
CCGT,2025,FOM,3.3494,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Fixed O&M",2015.0
OCGT,2025,FOM,1.7795,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",52 OCGT - Natural gas:  Fixed O&M,2015.0
onwind,2025,VOM,1.4286,EUR/MWhel,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",20 Onshore turbines:  Variable O&M,2015.0
offwind,2025,VOM,0.0212,EUR/MWhel,RES costs made up to fix curtailment order, from old pypsa cost assumptions,2015.0
solar,2025,VOM,0.0106,EUR/MWhel,RES costs made up to fix curtailment order, from old pypsa cost assumptions,2015.0
coal,2025,VOM,3.2612,EUR/MWhel,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","Calculated based on average of listed range, i.e. (3+5.5)USD/MWh_e/2 / (1.09 USD/EUR).",2023.0
lignite,2025,VOM,3.2612,EUR/MWhel,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","Calculated based on average of listed range, i.e. (3+5.5)USD/MWh_e/2 / (1.09 USD/EUR). Note: Assume same costs as for hard coal, as cost structure is apparently comparable, see https://diglib.tugraz.at/download.php?id=6093e88b63f93&location=browse and https://iea.blob.core.windows.net/assets/ae17da3d-e8a5-4163-a3ec-2e6fb0b5677d/Projected-Costs-of-Generating-Electricity-2020.pdf . ",2023.0
CCGT,2025,VOM,4.4445,EUR/MWhel,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Variable O&M",2015.0
OCGT,2025,VOM,4.762,EUR/MWhel,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",52 OCGT - Natural gas:  Variable O&M,2015.0
nuclear,2025,VOM,3.5464,EUR/MWhel,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","U.S. specific costs including newly commissioned Vogtle plant, average of range and currency converted, i.e. (4.25+5)/2 USD/kW_e / (1.09 USD/EUR) .",2023.0
gas,2025,fuel,4.23,EUR/MWhth,"DIW (2013): Current and propsective costs of electricity generation until 2050, http://hdl.handle.net/10419/80348 , pg. 80 text below figure 10, accessed: 2023-12-14.",Based on IEA 2011 data.,2010.0
uranium,2025,fuel,3.4122,EUR/MWhth,"DIW (2013): Current and propsective costs of electricity generation until 2050, http://hdl.handle.net/10419/80348 , pg. 80 text below figure 10, accessed: 2023-12-14.",Based on IEA 2011 data.,2010.0
oil,2025,VOM,6.3493,EUR/MWhel,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",50 Diesel engine farm:  Variable O&M,2015.0
nuclear,2025,fuel,3.4122,EUR/MWhth,"DIW (2013): Current and propsective costs of electricity generation until 2050, http://hdl.handle.net/10419/80348 , pg. 80 text below figure 10, accessed: 2023-12-14.",Based on IEA 2011 data.,2010.0
biomass,2025,fuel,1,EUR/MWhth,IEA2011b, from old pypsa cost assumptions,2015.0
coal,2025,fuel,9.5542,EUR/MWhth,"DIW (2013): Current and propsective costs of electricity generation until 2050, http://hdl.handle.net/10419/80348 , pg. 80 text below figure 10, accessed: 2023-12-14.","Based on IEA 2011 data, 99 USD/t.",2010.0
lignite,2025,fuel,3.2985,EUR/MWhth,"DIW (2013): Current and propsective costs of electricity generation until 2050, http://hdl.handle.net/10419/80348 , pg. 80 text below figure 10, accessed: 2023-12-14.","Based on IEA 2011 data, 10 USD/t.",2010.0
oil,2025,fuel,14.27,EUR/MWhth,IEA WEM2017 97USD/boe = http://www.iea.org/media/weowebsite/2017/WEM_Documentation_WEO2017.pdf, from old pypsa cost assumptions,2015.0
PHS,2025,efficiency,0.75,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2015.0
hydro,2025,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2015.0
ror,2025,efficiency,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2015.0
OCGT,2025,efficiency,0.41,per unit,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","52 OCGT - Natural gas:  Electricity efficiency, annual average",2015.0
CCGT,2025,efficiency,0.58,per unit,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","05 Gas turb. CC, steam extract.:  Electricity efficiency, annual average",2015.0
biomass,2025,efficiency,0.468,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions,2015.0
geothermal,2025,efficiency,0.239,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,
nuclear,2025,efficiency,0.326,per unit,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","Based on heat rate of 10.45 MMBtu/MWh_e and 3.4095 MMBtu/MWh_th, i.e. 1/(10.45/3.4095) = 0.3260.",2023.0
gas,2025,CO2 intensity,0.198,tCO2/MWth,Stoichiometric calculation with 50 GJ/t CH4,,
coal,2025,efficiency,0.356,per unit,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","Calculated based on average of listed range, i.e. 1 / ((8.75+12) MMbtu/MWh_th /2 / (3.4095 MMbtu/MWh_th)), rounded up.",2023.0
lignite,2025,efficiency,0.33,per unit,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14.","Calculated based on average of listed range, i.e. 1 / ((8.75+12) MMbtu/MWh_th /2 / (3.4095 MMbtu/MWh_th)), rounded up. Note: Assume same costs as for hard coal, as cost structure is apparently comparable, see https://diglib.tugraz.at/download.php?id=6093e88b63f93&location=browse and https://iea.blob.core.windows.net/assets/ae17da3d-e8a5-4163-a3ec-2e6fb0b5677d/Projected-Costs-of-Generating-Electricity-2020.pdf . ",2023.0
oil,2025,efficiency,0.35,per unit,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","50 Diesel engine farm:  Electricity efficiency, annual average",2015.0
coal,2025,CO2 intensity,0.3361,tCO2/MWth,Entwicklung der spezifischen Kohlendioxid-Emissionen des deutschen Strommix in den Jahren 1990 - 2018,,
lignite,2025,CO2 intensity,0.4069,tCO2/MWth,Entwicklung der spezifischen Kohlendioxid-Emissionen des deutschen Strommix in den Jahren 1990 - 2018,,
oil,2025,CO2 intensity,0.2571,tCO2/MWth,Stoichiometric calculation with 44 GJ/t diesel and -CH2- approximation of diesel,,
geothermal,2025,CO2 intensity,0.12,tCO2/MWth,"Aghahosseini, Breyer 2020: From hot rock to useful energy: A global estimate of enhanced geothermal systems potential, https://www.sciencedirect.com/science/article/pii/S0306261920312551",Likely to be improved; Average of 85 percent of global egs power plant capacity; Result of fluid circulation through rock formations,2020.0
electrolysis,2025,investment,1500.0,EUR/kWel,private communications; IEA https://iea.blob.core.windows.net/assets/9e0c82d4-06d2-496b-9542-f184ba803645/TheRoleofE-fuelsinDecarbonisingTransport.pdf,,2020.0
electrolysis,2025,FOM,4.0,%/year,"Danish Energy Agency, inputs/data_sheets_for_renewable_fuels.xlsx",86 AEC 100 MW:  Fixed O&M ,2020.0
electrolysis,2025,lifetime,25.0,years,"Danish Energy Agency, inputs/data_sheets_for_renewable_fuels.xlsx",86 AEC 100 MW:  Technical lifetime,2020.0
electrolysis,2025,efficiency,0.6217,per unit,"Danish Energy Agency, inputs/data_sheets_for_renewable_fuels.xlsx",86 AEC 100 MW:  Hydrogen Output,2020.0
fuel cell,2025,investment,1164.0438,EUR/kWel,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Nominal investment,2015.0
fuel cell,2025,FOM,5.0,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Fixed O&M,2015.0
fuel cell,2025,lifetime,10.0,years,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Technical lifetime,2015.0
fuel cell,2025,efficiency,0.5,per unit,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","12 LT-PEMFC CHP:  Electricity efficiency, annual average",2015.0
hydrogen storage tank,2025,investment,13.5,EUR/kWh_H2,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9.","450 EUR/kg_H2 converted with LHV to MWh. For a type 1 hydrogen storage tank (steel, 15-250 bar). Currency year assumed 2020 for initial publication of reference; observe note in SI.4.3 that no currency year is explicitly stated in the reference.",2020.0
hydrogen storage tank,2025,lifetime,20.0,years,"Based on Stöckl et al (2021): https://doi.org/10.48550/arXiv.2005.03464, table SI.9.",-,2020.0
hydrogen storage underground,2025,investment,2.1268,EUR/kWh,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",151c Hydrogen Storage - Caverns:  Specific investment,2020.0
hydrogen storage underground,2025,lifetime,100.0,years,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",151c Hydrogen Storage - Caverns:  Technical lifetime,2020.0
H2 pipeline,2025,investment,282.5452,EUR/MW/km,Welder et al https://doi.org/10.1016/j.energy.2018.05.059, from old pypsa cost assumptions,2015.0
H2 pipeline,2025,lifetime,40.0,years,TODO, from old pypsa cost assumptions,2015.0
H2 pipeline,2025,FOM,3.0,%/year,TODO, from old pypsa cost assumptions,2015.0
H2 pipeline,2025,efficiency,0.98,per unit,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf,,
methanation,2025,investment,679.8185,mismatch - EUR/kWH2 - EUR/kW_CH4,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 6: “Reference scenario”.",,2017.0
methanation,2025,lifetime,20.0,years,Guesstimate.,"Based on lifetime for methanolisation, Fischer-Tropsch plants.",2017.0
methanation,2025,FOM,3.0,%/year,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), section 6.2.3.1",,2017.0
methanation,2025,efficiency,0.8,per unit,Palzer and Schaber thesis, from old pypsa cost assumptions,2015.0
helmeth,2025,investment,2116.4433,EUR/kWel,no source, from old pypsa cost assumptions,2015.0
helmeth,2025,lifetime,25.0,years,no source, from old pypsa cost assumptions,2015.0
helmeth,2025,FOM,3.0,%/year,no source, from old pypsa cost assumptions,2015.0
helmeth,2025,efficiency,0.8,per unit,HELMETH press release, from old pypsa cost assumptions,2015.0
DAC,2025,investment,684.931506849315,EUR/(tCO2/a),"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,2020.0
DAC,2025,lifetime,20.0,years,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,2020.0
DAC,2025,FOM,4.95,%/year,"Danish Energy Agency, inputs/technology_data_for_carbon_capture_transport_storage.xlsx",403.a Direct air capture,2020.0
battery inverter,2025,investment,170.144,EUR/kWel,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",:  Output capacity expansion cost investment,2020.0
battery inverter,2025,lifetime,10.0,years,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx, Note K.",:  Technical lifetime,2020.0
battery inverter,2025,efficiency,0.96,per unit,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",:  Round trip efficiency DC,2020.0
battery inverter,2025,FOM,0.3375,%/year,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",:  Fixed O&M,2020.0
battery storage,2025,investment,151.0028,EUR/kWh,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",:  Energy storage expansion cost investment,2020.0
battery storage,2025,lifetime,25.0,years,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",:  Technical lifetime,2020.0
decentral air-sourced heat pump,2025,investment,899.4884,mismatch - EUR/kWth - EUR/kW_th,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx",207.3 Air to water existing:  Specific investment,2015.0
decentral air-sourced heat pump,2025,lifetime,18.0,years,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx",207.3 Air to water existing:  Technical lifetime,2015.0
decentral air-sourced heat pump,2025,FOM,3.0014,%/year,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx",207.3 Air to water existing:  Fixed O&M,2015.0
decentral air-sourced heat pump,2025,efficiency,3.6,per unit,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx","207.3 Air to water existing:  Heat efficiency, annual average, net, radiators, existing one family house",2015.0
decentral air-sourced heat pump,2025,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,2015.0
decentral ground-sourced heat pump,2025,investment,1481.5103,mismatch - EUR/kWth - EUR/kW_th,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx",207.7 Ground source existing:  Specific investment,2015.0
decentral ground-sourced heat pump,2025,lifetime,20.0,years,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx",207.7 Ground source existing:  Technical lifetime,2015.0
decentral ground-sourced heat pump,2025,FOM,1.8223,%/year,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx",207.7 Ground source existing:  Fixed O&M,2015.0
decentral ground-sourced heat pump,2025,efficiency,3.9,per unit,"Danish Energy Agency, inputs/technologydatafor_heating_installations_marts_2018.xlsx","207.7 Ground source existing:  Heat efficiency, annual average, net, radiators, existing one family house",2015.0
decentral ground-sourced heat pump,2025,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,2015.0
central air-sourced heat pump,2025,investment,906.0988,mismatch - EUR/kWth - EUR/kW_th,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Specific investment",2015.0
central air-sourced heat pump,2025,lifetime,25.0,years,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Technical lifetime",2015.0
central air-sourced heat pump,2025,FOM,0.2336,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Fixed O&M",2015.0
central air-sourced heat pump,2025,efficiency,3.2,per unit,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Total efficiency, net, name plate",2015.0
retrofitting I,2025,discount rate,0.04,per unit,Palzer thesis,,
retrofitting I,2025,lifetime,50.0,years,Palzer thesis,,
retrofitting I,2025,FOM,1.0,%/year,Palzer thesis,,2013.0
retrofitting I,2025,investment,50.0,EUR/m2/fraction reduction,Palzer thesis,,2013.0
retrofitting II,2025,discount rate,0.04,per unit,Palzer thesis,,
retrofitting II,2025,lifetime,50.0,years,Palzer thesis,,
retrofitting II,2025,FOM,1.0,%/year,Palzer thesis,,2013.0
retrofitting II,2025,investment,250.0,EUR/m2/fraction reduction,Palzer thesis,,2013.0
water tank charger,2025,efficiency,0.9,per unit,HP, from old pypsa cost assumptions,2015.0
water tank discharger,2025,efficiency,0.9,per unit,HP, from old pypsa cost assumptions,2015.0
decentral water tank storage,2025,investment,419.8622,mismatch - EUR/m3 - EUR/kWh,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",142 Small scale hot water tank:  Specific investment,2020.0
decentral water tank storage,2025,FOM,1.0,%/year,HP, from old pypsa cost assumptions,2015.0
decentral water tank storage,2025,lifetime,30.0,years,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",142 Small scale hot water tank:  Technical lifetime,2020.0
decentral water tank storage,2025,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,2015.0
central water tank storage,2025,investment,3.0361,mismatch - EUR/m3 - EUR/kWhCapacity,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",141 Large hot water tank:  Specific investment,2020.0
central water tank storage,2025,FOM,1.0,%/year,HP, from old pypsa cost assumptions,2015.0
central water tank storage,2025,lifetime,40.0,years,"Danish Energy Agency, inputs/technology_data_catalogue_for_energy_storage.xlsx",141 Large hot water tank:  Technical lifetime,2020.0
decentral resistive heater,2025,investment,105.8222,EUR/kWhth,Schaber thesis, from old pypsa cost assumptions,2015.0
decentral resistive heater,2025,lifetime,20.0,years,Schaber thesis, from old pypsa cost assumptions,2015.0
decentral resistive heater,2025,FOM,2.0,%/year,Schaber thesis, from old pypsa cost assumptions,2015.0
